Respondent Id	QId	Attribute Value	OE Verbatim
20220524161447781	RQ1	6	Teacher
20220524162032362	RQ1	6	housewife
20220525095406657	RQ1	6	student
20220525104706560	RQ1	6	housewife
20220525113024567	RQ1	6	housewife
20220525120743719	RQ1	6	student
20220525123357446	RQ1	6	others
20220525094739420	RQ1	6	Housewife
20220525103450379	RQ1	6	Housewife
20220525111643709	RQ1	6	Service
20220525122914173	RQ1	6	Student
20220525115111013	RQ1	6	Housewife
20220525122529929	RQ1	6	Student
20220525110103948	RQ1	6	Housewife
20220525101848172	RQ1	6	House wife
20220524160215116	RQ1	6	private service
20220525114425359	RQ1	6	student
20220525091413091	RQ1	6	housewife
20220524161744758	RQ1	6	housewife
20220525102058475	RQ1	6	others
20220525091941688	RQ1	6	others
20220525111125384	RQ1	6	others
20220525115750923	RQ1	6	others
20220525092605300	RQ1	6	Student
20220525103300276	RQ1	6	House wife
20220525113122310	RQ1	6	Student
20220525123417113	RQ1	6	Student
20220525125035124	RQ1	6	housewife
20220525145233916	RQ1	6	Housewife
20220525152931427	RQ1	6	Student
20220525160540198	RQ1	6	Student
20220525135649499	RQ1	6	student
20220525161114444	RQ1	6	student
20220525140150149	RQ1	6	Housewife
20220525153356095	RQ1	6	Housewife
20220525145851444	RQ1	6	housewife
20220525134201519	RQ1	6	Housewife
20220525143359112	RQ1	6	Student
20220525150843616	RQ1	6	Housewife
20220525154432917	RQ1	6	Housewife
20220525161251793	RQ1	6	Student
20220525154915643	RQ1	6	housewife
20220525164710278	RQ1	6	Student
20220525160852804	RQ1	6	Job
20220525142944680	RQ1	6	Student
20220525152222696	RQ1	6	Student
20220526094258538	RQ1	6	Service
20220526121612659	RQ1	6	Business
20220526125240089	RQ1	6	Business
20220526102739303	RQ1	6	Service
20220526113846160	RQ1	6	Student
20220526105824367	RQ1	6	Student
20220526102742286	RQ1	6	business
20220526112259872	RQ1	6	job
20220526120238721	RQ1	6	student
20220526125243156	RQ1	6	student
20220526103108247	RQ1	6	Business
20220526120652563	RQ1	6	student
20220526132716593	RQ1	6	dop
20220526111521019	RQ1	6	student
20220526125308007	RQ1	6	bus
20220526142653276	RQ1	6	House wife
20220526142219323	RQ1	6	Business
20220525135903076	RQ1	6	housewife
20220525144235053	RQ1	6	housewife
20220525151249520	RQ1	6	housewife
20220525162031063	RQ1	6	student
20220526100520421	RQ1	6	business
20220526104749087	RQ1	6	business
20220526112411919	RQ1	6	business
20220526121002634	RQ1	6	student
20220526124452132	RQ1	6	business
20220526132244026	RQ1	6	student
20220526160406406	RQ1	6	service
20220526152553551	RQ1	6	job
20220526152751093	RQ1	6	business
20220526160512185	RQ1	6	business
20220526162935755	RQ1	6	survice
20220526143121164	RQ1	6	business
20220526152319897	RQ1	6	service
20220526160040989	RQ1	6	survice
20220526155159627	RQ1	6	Business
20220526162407040	RQ1	6	Service
20220526151419357	RQ1	6	Student
20220526100212913	RQ1	6	Business
20220526142917982	RQ1	6	Student
20220526104935772	RQ1	6	Business
20220526112426795	RQ1	6	Job
20220526120054746	RQ1	6	Student
20220526125111595	RQ1	6	Job
20220526151833104	RQ1	6	Student
20220526155622134	RQ1	6	Service
